compound_id,success,message
DEC_4391,True,OK
DEC_1747,True,OK
DEC_2029,True,OK
DEC_3885,True,OK
DEC_1554,True,OK
DEC_0623,True,OK
DEC_0374,True,OK
DEC_1830,True,OK
DEC_1282,True,OK
DEC_3778,True,OK
DEC_2770,True,OK
DEC_0788,True,OK
DEC_3248,True,OK
ACT_043,True,OK
DEC_2792,True,OK
DEC_3928,True,OK
DEC_3485,True,OK
DEC_2499,True,OK
DEC_0922,True,OK
DEC_3820,True,OK
DEC_1455,True,OK
DEC_4071,True,OK
DEC_2795,True,OK
DEC_2218,True,OK
DEC_0850,True,OK
DEC_2293,True,OK
DEC_4372,True,OK
DEC_0336,True,OK
DEC_3578,True,OK
DEC_2460,True,OK
DEC_0676,True,OK
DEC_3757,True,OK
DEC_3545,True,OK
DEC_3830,True,OK
DEC_4543,True,OK
DEC_2352,True,OK
DEC_1007,True,OK
DEC_2813,True,OK
DEC_2085,True,OK
ACT_048,False,Empty PDBQT
DEC_2994,True,OK
DEC_4474,True,OK
DEC_0319,True,OK
DEC_0920,False,Timeout
DEC_3713,True,OK
DEC_1178,True,OK
DEC_2682,True,OK
DEC_1657,True,OK
DEC_3589,True,OK
DEC_0126,True,OK
DEC_0318,True,OK
DEC_2168,True,OK
DEC_1513,True,OK
DEC_2919,True,OK
DEC_2737,True,OK
DEC_2786,True,OK
DEC_4176,True,OK
DEC_1499,True,OK
DEC_2482,True,OK
DEC_0169,True,OK
DEC_1323,True,OK
DEC_0651,True,OK
DEC_3705,True,OK
DEC_1601,True,OK
DEC_4494,True,OK
DEC_0864,True,OK
DEC_4715,True,OK
DEC_3488,True,OK
DEC_4454,True,OK
DEC_1151,True,OK
DEC_3220,True,OK
DEC_4763,True,OK
DEC_4168,True,OK
DEC_2004,True,OK
DEC_1563,True,OK
DEC_1336,True,OK
DEC_0434,True,OK
DEC_4684,True,OK
DEC_0002,True,OK
DEC_2864,True,OK
DEC_1660,True,OK
DEC_1437,True,OK
ACT_041,True,OK
DEC_3561,True,OK
ACT_009,True,OK
DEC_2736,True,OK
DEC_1853,True,OK
DEC_3907,True,OK
DEC_3070,True,OK
DEC_4482,True,OK
DEC_2966,True,OK
DEC_2842,True,OK
DEC_2555,True,OK
DEC_4064,True,OK
DEC_1781,True,OK
DEC_3288,True,OK
DEC_1016,True,OK
ACT_079,True,OK
DEC_3495,True,OK
DEC_3886,True,OK
DEC_2197,True,OK
DEC_4006,True,OK
DEC_1069,True,OK
DEC_0020,True,OK
DEC_1088,True,OK
DEC_0018,True,OK
DEC_1944,True,OK
DEC_0844,True,OK
DEC_0444,True,OK
DEC_2229,True,OK
DEC_1981,True,OK
DEC_2870,True,OK
DEC_0643,True,OK
DEC_3612,True,OK
